list_index,source_year,source_listed_author,source_title,source_journal,canonical_title,lead_author,coauthors,full_author_list,author_count_in_list,author_list_status,publication_type,publication_year,journal_or_source,volume_issue_pages,doi,pmid,pmcid,canonical_article_url,duplicate_of_list_index,metadata_status,notes,metadata_retrieved_date,reach_publications_page
81,2021,"Schultz, A. A. et al.",The Population-based Microbiome Research Core: a longitudinal infrastructure for assessment of household microbiome and human health research,medRxiv,The Population-based Microbiome Research Core: a longitudinal infrastructure for assessment of household microbiome and human health research,Amy A Schultz,Kristen M C Malecki; Elizabeth A Holzhausen; Pravleen Bajwa; Paul Peppard; Tamara J LeCaire; Shoshannah Eggers; Nasia Safdar; Ajay K Sethi,Amy A Schultz; Kristen M C Malecki; Elizabeth A Holzhausen; Pravleen Bajwa; Paul Peppard; Tamara J LeCaire; Shoshannah Eggers; Nasia Safdar; Ajay K Sethi,9,complete,Preprint,2021,medRxiv,2021.11.22.21266369,10.1101/2021.11.22.21266369,,,https://doi.org/10.1101/2021.11.22.21266369,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
82,2021,"Xiaofei, H. et al.","Fish consumption and awareness of fish advisories among Burmese refugees: A respondent-driven sampling study in Milwaukee, Wisconsin",Environmental Research,"Fish consumption and awareness of fish advisories among Burmese refugees: A respondent-driven sampling study in Milwaukee, Wisconsin",Xiaoyu He,Michelle R Raymond; Carrie D Tomasallo; Amy A Schultz; Jonathan G Meiman,Xiaoyu He; Michelle R Raymond; Carrie D Tomasallo; Amy A Schultz; Jonathan G Meiman,5,complete,Journal article,2021,Environmental Research,197:110906,10.1016/j.envres.2021.110906,33722524,,https://doi.org/10.1016/j.envres.2021.110906,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
83,2021,"Safdar, N. et al.",The Wisconsin Infection Prevention Center: The Value of a Statewide Infection Prevention Center,WMJ,The Wisconsin Infection Prevention Center: The Value of a Statewide Infection Prevention Center,Nasia Safdar,L Silvia Munoz-Price; Robert N Golden; Joseph E Kerschner; Ann Nattinger; Ryan Westergaard,Nasia Safdar; L Silvia Munoz-Price; Robert N Golden; Joseph E Kerschner; Ann Nattinger; Ryan Westergaard,6,complete,Journal article,2021,WMJ,120(3):171-173,,,,https://wmjonline.org/wp-content/uploads/2021/120/3/WMJ120no3-final.pdf,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
84,2022,"Greer, Y. D. et al.",Social Capital and Food Insecurity in Two Counties in Wisconsin.,Walden University ProQuest Dissertations Publishing,Social Capital and Food Insecurity in Two Counties in Wisconsin,Yvonne Denise Greer,,Yvonne Denise Greer,1,complete,Doctoral dissertation,2022,Walden Dissertations and Doctoral Studies,13393,,,,https://scholarworks.waldenu.edu/dissertations/13393/,,verified,Single-author dissertation; the source page's use of “et al.” is inaccurate.,2026-06-24,https://reach.med.wisc.edu/research/#publications
85,2022,"Malecki, K. M. et al.",The Survey of the Health of Wisconsin (SHOW) Program: An Infrastructure for Advancing Population Health,Frontiers in Public Health,The Survey of the Health of Wisconsin (SHOW) Program: An Infrastructure for Advancing Population Health,Kristen M C Malecki,Maria Nikodemova; Amy A Schultz; Tamara J LeCaire; Andrew J Bersch; Lisa Cadmus-Bertram; Corinne D Engelman; Erika Hagen; Laura McCulley; Mari Palta; Allison Rodriguez; Ajay K Sethi; Matthew C Walsh; F Javier Nieto; Paul E Peppard,Kristen M C Malecki; Maria Nikodemova; Amy A Schultz; Tamara J LeCaire; Andrew J Bersch; Lisa Cadmus-Bertram; Corinne D Engelman; Erika Hagen; Laura McCulley; Mari Palta; Allison Rodriguez; Ajay K Sethi; Matthew C Walsh; F Javier Nieto; Paul E Peppard,15,complete,Journal article,2022,Frontiers in Public Health,10:818777,10.3389/fpubh.2022.818777,35433595,PMC9013052,https://doi.org/10.3389/fpubh.2022.818777,,verified,The source-page URL is blank; DOI metadata was resolved by title.,2026-06-24,https://reach.med.wisc.edu/research/#publications
86,2022,"Malecki, K. M. et al.",Statewide Impact of COVID-19 on Social Determinants of Health - A First Look: Findings from the Survey of the Health of Wisconsin,medRxiv - Preprint,Statewide Impact of COVID-19 on Social Determinants of Health—A First Look: Findings from the Survey of the Health of Wisconsin,Kristen M C Malecki,Amy A Schultz; Maria Nikodemova; Matthew C Walsh; Andrew J Bersch; Jacquie Cronin; Lisa Cadmus-Bertram; Corinne D Engelman; Julia R Lubsen; Paul E Peppard; Ajay K Sethi,Kristen M C Malecki; Amy A Schultz; Maria Nikodemova; Matthew C Walsh; Andrew J Bersch; Jacquie Cronin; Lisa Cadmus-Bertram; Corinne D Engelman; Julia R Lubsen; Paul E Peppard; Ajay K Sethi,11,complete,Preprint,2021,medRxiv,2021.02.18.21252017,10.1101/2021.02.18.21252017,,,https://doi.org/10.1101/2021.02.18.21252017,,verified,"First posted in 2021; a revised version appeared in January 2022, which explains the source-page year.",2026-06-24,https://reach.med.wisc.edu/research/#publications
87,2022,"Xiaofei, H. et al.","Fish consumption, awareness of fish advisories, and body burden of contaminants among the Milwaukee urban anglers: A biomonitoring study",Journal of Toxicology and Environmental Health Sciences,"Fish consumption, awareness of fish advisories, and body burden of contaminants among the Milwaukee urban anglers: A biomonitoring study",Xiaofei He,Carrie Tomasallo; Zheng Li; Amy Schultz; Maria Kamenetsky; Andreas Sjodin; Julianne Botelho; Jeffrey Jarrett; Jonathan Meiman,Xiaofei He; Carrie Tomasallo; Zheng Li; Amy Schultz; Maria Kamenetsky; Andreas Sjodin; Julianne Botelho; Jeffrey Jarrett; Jonathan Meiman,9,complete,Journal article,2022,Journal of Toxicology and Environmental Health Sciences,14(2):20-35,10.5897/JTEHS2022.0506,,,https://doi.org/10.5897/JTEHS2022.0506,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
88,2022,"Jessica, S. et al.",Active transportation and self-reported change in physical activity,Journal of Transport & Health,Active transportation and self-reported change in physical activity,Jessica Stroope,Alex C Garn; Lisa A Cadmus-Bertram,Jessica Stroope; Alex C Garn; Lisa A Cadmus-Bertram,3,complete,Journal article,2022,Journal of Transport & Health,27:101528,10.1016/j.jth.2022.101528,,,https://doi.org/10.1016/j.jth.2022.101528,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
89,2022,"Ersig, A. L. et al.","Genetic Variation, Stress, and Physiological Stress Response in Adults With Food Allergy or Celiac Disease",Biological Research For Nursing,"Genetic Variation, Stress, and Physiological Stress Response in Adults With Food Allergy or Celiac Disease",Anne L Ersig,Erin E Young; Roger L Brown; Kristen Malecki,Anne L Ersig; Erin E Young; Roger L Brown; Kristen Malecki,4,complete,Journal article,2023,Biological Research for Nursing,25(2):300-309,10.1177/10998004221134826,36280595,,https://doi.org/10.1177/10998004221134826,,verified,Published online in 2022 and assigned to a 2023 issue.,2026-06-24,https://reach.med.wisc.edu/research/#publications
90,2022,"Holzhausen, E. A. et al.","Assessing the relationship between physical activity and the gut microbiome in a large, population-based sample of Wisconsin adults",PLOS ONE,"Assessing the relationship between physical activity and the gut microbiome in a large, population-based sample of Wisconsin adults",Elizabeth A Holzhausen,Kristen C Malecki; Ajay K Sethi; Ronald Gangnon; Lisa Cadmus-Bertram; Courtney L Deblois; Garret Suen; Nasia Safdar; Paul E Peppard,Elizabeth A Holzhausen; Kristen C Malecki; Ajay K Sethi; Ronald Gangnon; Lisa Cadmus-Bertram; Courtney L Deblois; Garret Suen; Nasia Safdar; Paul E Peppard,9,complete,Journal article,2022,PLOS ONE,17(10):e0276684,10.1371/journal.pone.0276684,36288361,,https://doi.org/10.1371/journal.pone.0276684,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
91,2022,"Flores, V. et al.",Regulation of metabolic health by dietary histidine in mice,The Journal of Physiology,Regulation of metabolic health by dietary histidine in mice,Victoria Flores,Alexandra B Spicer; Michelle M Sonsalla; Nicole E Richardson; Deyang Yu; Grace E Sheridan; Michaela E Trautman; Reji Babygirija; Eunhae P Cheng; Jennifer M Rojas; Shany E Yang; Matthew H Wakai; Ryan Hubbell; Ildiko Kasza; Jay L Tomasiewicz; Cara L Green; Claudia Dantoin; Caroline M Alexander; Joseph A Baur; Kristen C Malecki; Dudley W Lamming,Victoria Flores; Alexandra B Spicer; Michelle M Sonsalla; Nicole E Richardson; Deyang Yu; Grace E Sheridan; Michaela E Trautman; Reji Babygirija; Eunhae P Cheng; Jennifer M Rojas; Shany E Yang; Matthew H Wakai; Ryan Hubbell; Ildiko Kasza; Jay L Tomasiewicz; Cara L Green; Claudia Dantoin; Caroline M Alexander; Joseph A Baur; Kristen C Malecki; Dudley W Lamming,21,complete,Journal article,2023,The Journal of Physiology,601(11):2139-2163,10.1113/JP283261,36086823,PMC9995620,https://doi.org/10.1113/JP283261,,verified,Published online in 2022 and assigned to a 2023 issue.,2026-06-24,https://reach.med.wisc.edu/research/#publications
92,2022,"Dillard, L. K. et al.","Self-reported hearing loss is associated with poorer perceived health care access, timeliness, satisfaction, and quality: Findings from the Survey of the Health of Wisconsin",Disability and Health Journal,"Self-reported hearing loss is associated with poorer perceived health care access, timeliness, satisfaction, and quality: Findings from the Survey of the Health of Wisconsin",Lauren K Dillard,Erin Nelson-Bakkum; Matthew C Walsh; Amy Schultz,Lauren K Dillard; Erin Nelson-Bakkum; Matthew C Walsh; Amy Schultz,4,complete,Journal article,2023,Disability and Health Journal,16(1):101394,10.1016/j.dhjo.2022.101394,,,https://doi.org/10.1016/j.dhjo.2022.101394,,verified,Published online in 2022 and assigned to a 2023 issue.,2026-06-24,https://reach.med.wisc.edu/research/#publications
93,2022,"Dillard, L. K. et al.",Prevalence of Self-Reported Hearing Loss and Associated Risk Factors: Findings From the Survey of the Health of Wisconsin,"Journal of Speech, Language, and Hearing Research",Prevalence of Self-Reported Hearing Loss and Associated Risk Factors: Findings From the Survey of the Health of Wisconsin,Lauren K Dillard,Matthew C Walsh; Natascha Merten; Karen J Cruickshanks; Amy Schultz,Lauren K Dillard; Matthew C Walsh; Natascha Merten; Karen J Cruickshanks; Amy Schultz,5,complete,Journal article,2022,"Journal of Speech, Language, and Hearing Research",65(5):2016-2028,10.1044/2022_JSLHR-21-00580,35486882,,https://doi.org/10.1044/2022_JSLHR-21-00580,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
94,2022,"Bixby, M. et al.",Individual Nutrition Is Associated with Altered Gut Microbiome Composition for Adults with Food Insecurity,Nutrients,Individual Nutrition Is Associated with Altered Gut Microbiome Composition for Adults with Food Insecurity,Moira Bixby,Chris Gennings; Kristen M C Malecki; Ajay K Sethi; Nasia Safdar; Paul E Peppard; Shoshannah Eggers,Moira Bixby; Chris Gennings; Kristen M C Malecki; Ajay K Sethi; Nasia Safdar; Paul E Peppard; Shoshannah Eggers,7,complete,Journal article,2022,Nutrients,14(16):3407,10.3390/nu14163407,36014913,PMC9416073,https://doi.org/10.3390/nu14163407,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
95,2022,"Zhao, L. et al.",Alcohol Use During Chemotherapy: A Pilot Study,WMJ,Alcohol Use During Chemotherapy: A Pilot Study,Lin Zhao,Alexandria Cull Weatherer; Sarah Kerch; Tamara LeCaire; Patrick L Remington; Noelle K LoConte,Lin Zhao; Alexandria Cull Weatherer; Sarah Kerch; Tamara LeCaire; Patrick L Remington; Noelle K LoConte,6,complete,Journal article,2022,WMJ,121(2):157-159,,35857694,,https://pubmed.ncbi.nlm.nih.gov/35857694/,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
96,2022,"Raghav, J. et al.",Identification of novel plasma lipid markers of cardiovascular disease risk in White and Black women,medRxiv,Identification of novel plasma lipid markers of cardiovascular disease risk in White and Black women,Raghav Jain,Jessica W Davidson; Paula Gonzalez; Christopher L Coe; Camille King; Carol D Ryff; Andrew J Bersch; Sheher Mohsin; Gayle D Love; Francesca Nimityongskul; Kristen Malecki; Judith Simcox,Raghav Jain; Jessica W Davidson; Paula Gonzalez; Christopher L Coe; Camille King; Carol D Ryff; Andrew J Bersch; Sheher Mohsin; Gayle D Love; Francesca Nimityongskul; Kristen Malecki; Judith Simcox,12,complete,Preprint,2022,medRxiv,2022.08.24.22279186,10.1101/2022.08.24.22279186,,,https://doi.org/10.1101/2022.08.24.22279186,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
97,2022,"Hii, M. et al.",Respiratory Function and Racial Health Disparities With Residential Proximity to Coal Power Plants in Wisconsin,Wisconsin Medical Journal,Respiratory Function and Racial Health Disparities With Residential Proximity to Coal Power Plants in Wisconsin,Michael Hii,Kirsten M M Beyer; Sima Namin; Kristen Malecki; Caitlin Rublee,Michael Hii; Kirsten M M Beyer; Sima Namin; Kristen Malecki; Caitlin Rublee,5,complete,Journal article,2022,WMJ,121(2):94-105,,35877032,,https://pubmed.ncbi.nlm.nih.gov/35877032/,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
98,2022,"Swan, L. E. T. et al.",Exploring financial stress and resource deprivation as barriers to preferred contraceptive use in Wisconsin in 2021,Contraception,Exploring financial stress and resource deprivation as barriers to preferred contraceptive use in Wisconsin in 2021,Laura E T Swan,Hoa Vu; Jenny A Higgins; Leeann M Bui; Kristen Malecki; Tiffany L Green,Laura E T Swan; Hoa Vu; Jenny A Higgins; Leeann M Bui; Kristen Malecki; Tiffany L Green,6,complete,Journal article,2022,Contraception,115:22-26,10.1016/j.contraception.2022.07.014,,,https://doi.org/10.1016/j.contraception.2022.07.014,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
99,2022,"Grupe, D. W. et al.",Perceived stress associations with hippocampal-dependent behavior and hippocampal subfield volume,Neurobiology of Stress,Perceived stress associations with hippocampal-dependent behavior and hippocampal subfield volume,Daniel W Grupe,Alexandra L Barnes; Lauren Gresham; Andrew Kirvin-Quamme; Elizabeth Nord; Andrew L Alexander; Heather C Abercrombie; Stacey M Schaefer; Richard J Davidson,Daniel W Grupe; Alexandra L Barnes; Lauren Gresham; Andrew Kirvin-Quamme; Elizabeth Nord; Andrew L Alexander; Heather C Abercrombie; Stacey M Schaefer; Richard J Davidson,9,complete,Journal article,2022,Neurobiology of Stress,19:100469,10.1016/j.ynstr.2022.100469,35859546,PMC9289864,https://doi.org/10.1016/j.ynstr.2022.100469,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
100,2022,"Malecki, K. M. et al.",The Survey of the Health of Wisconsin (SHOW) Program: an infrastructure for advancing population health sciences.,Frontiers in Public Health,The Survey of the Health of Wisconsin (SHOW) Program: An Infrastructure for Advancing Population Health,Kristen M C Malecki,Maria Nikodemova; Amy A Schultz; Tamara J LeCaire; Andrew J Bersch; Lisa Cadmus-Bertram; Corinne D Engelman; Erika Hagen; Laura McCulley; Mari Palta; Allison Rodriguez; Ajay K Sethi; Matthew C Walsh; F Javier Nieto; Paul E Peppard,Kristen M C Malecki; Maria Nikodemova; Amy A Schultz; Tamara J LeCaire; Andrew J Bersch; Lisa Cadmus-Bertram; Corinne D Engelman; Erika Hagen; Laura McCulley; Mari Palta; Allison Rodriguez; Ajay K Sethi; Matthew C Walsh; F Javier Nieto; Paul E Peppard,15,complete,Journal article,2022,Frontiers in Public Health,10:818777,10.3389/fpubh.2022.818777,35433595,PMC9013052,https://doi.org/10.3389/fpubh.2022.818777,85,verified_duplicate,Duplicate source row of list index 85.,2026-06-24,https://reach.med.wisc.edu/research/#publications
101,2022,"Pomazal, R. et al.",Changes in Alcohol Consumption during the COVID-19 Pandemic: Evidence from Wisconsin,International Journal of Environmental Research and Public Health (IJERPH),Changes in Alcohol Consumption during the COVID-19 Pandemic: Evidence from Wisconsin,Rachel Pomazal,Kristen M C Malecki; Laura McCulley; Noah Stafford; Mikayla Schowalter; Amy Schultz,Rachel Pomazal; Kristen M C Malecki; Laura McCulley; Noah Stafford; Mikayla Schowalter; Amy Schultz,6,complete,Journal article,2023,International Journal of Environmental Research and Public Health,20(7):5301,10.3390/ijerph20075301,37047917,,https://doi.org/10.3390/ijerph20075301,,verified,Final journal article is dated 2023; the source page lists 2022.,2026-06-24,https://reach.med.wisc.edu/research/#publications
102,2023,"Nikodemova, M. et al.",The effect of low-abundance OTU filtering methods on the reliability and variability of microbial composition assessed by 16S rRNA amplicon sequencing,Frontiers in Cellular and Infection Microbiology,The effect of low-abundance OTU filtering methods on the reliability and variability of microbial composition assessed by 16S rRNA amplicon sequencing,Maria Nikodemova,Elizabeth A Holzhausen; Courtney L Deblois; Jodi H Barnet; Paul E Peppard; Garret Suen; Kristen M Malecki,Maria Nikodemova; Elizabeth A Holzhausen; Courtney L Deblois; Jodi H Barnet; Paul E Peppard; Garret Suen; Kristen M Malecki,7,complete,Journal article,2023,Frontiers in Cellular and Infection Microbiology,13:1165295,10.3389/fcimb.2023.1165295,37377642,PMC10291178,https://doi.org/10.3389/fcimb.2023.1165295,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
103,2023,"Dillard, L. K. et al.","Self-Reported Hearing Loss Is Associated With Poorer Health Care Access, Delays, and Communication With Providers During the COVID-19 Pandemic: Findings From the Survey of the Health of Wisconsin COVID-19 Community Impact Survey",American Journal of Audiology,"Self-Reported Hearing Loss Is Associated With Poorer Health Care Access, Delays, and Communication With Providers During the COVID-19 Pandemic: Findings From the Survey of the Health of Wisconsin COVID-19 Community Impact Survey",Lauren K Dillard,Erin R Nelson-Bakkum; Mariétou H Ouayogodé; Amy Schultz,Lauren K Dillard; Erin R Nelson-Bakkum; Mariétou H Ouayogodé; Amy Schultz,4,complete,Journal article,2023,American Journal of Audiology,32(4):832-842,10.1044/2023_AJA-22-00223,,,https://doi.org/10.1044/2023_AJA-22-00223,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
104,2023,"Merten, N. et al.",Psychological distress and well-being among sensory impaired individuals during COVID-19 lockdown measures,Annals of Epidemiology,Psychological distress and well-being among sensory impaired individuals during COVID-19 lockdown measures,Natascha Merten,Amy A Schultz; Matthew C Walsh; Suzanne W van Landingham; Paul E Peppard; Carol D Ryff; Kristen C Malecki,Natascha Merten; Amy A Schultz; Matthew C Walsh; Suzanne W van Landingham; Paul E Peppard; Carol D Ryff; Kristen C Malecki,7,complete,Journal article,2023,Annals of Epidemiology,79:19-23,10.1016/j.annepidem.2023.01.002,36639063,PMC9829601,https://doi.org/10.1016/j.annepidem.2023.01.002,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
105,2023,"Gordon, B. S. et al.",Carbon Monoxide Awareness and Detector Use in the State of Wisconsin,Journal of Community Health,Carbon Monoxide Awareness and Detector Use in the State of Wisconsin,Bianca Silva Gordon,Kristen M C Malecki; Jennifer Camponeschi; Tamara J LeCaire; Paul D Creswell; Amy A Schultz,Bianca Silva Gordon; Kristen M C Malecki; Jennifer Camponeschi; Tamara J LeCaire; Paul D Creswell; Amy A Schultz,6,complete,Journal article,2024,Journal of Community Health,49(1):1-7,10.1007/s10900-023-01235-3,37284918,,https://doi.org/10.1007/s10900-023-01235-3,,verified,Published online in 2023 and assigned to a 2024 issue.,2026-06-24,https://reach.med.wisc.edu/research/#publications
106,2023,"Abercrombie, H. C. et al.",Inverse association between stress induced cortisol elevations and negative emotional reactivity to stress in humans,Stress,Inverse association between stress induced cortisol elevations and negative emotional reactivity to stress in humans,Heather C Abercrombie,Alexandra L Barnes; Elizabeth C Nord; Anna J Finley; Estelle T Higgins; Daniel W Grupe; Melissa A Rosenkranz; Richard J Davidson; Stacey M Schaefer,Heather C Abercrombie; Alexandra L Barnes; Elizabeth C Nord; Anna J Finley; Estelle T Higgins; Daniel W Grupe; Melissa A Rosenkranz; Richard J Davidson; Stacey M Schaefer,9,complete,Journal article,2023,Stress,26(1):2174780,10.1080/10253890.2023.2174780,,PMC9930177,https://doi.org/10.1080/10253890.2023.2174780,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
107,2023,"Schultz, A. A. et al.",Biomonitoring of perfluoroalkyl and polyfluoroalkyl substances (PFAS) from the Survey of the Health of Wisconsin (SHOW) 2014-2016 and comparison with the National Health and Nutrition Examination Survey (NHANES),J Expo Sci Environ Epidemiol,Biomonitoring of perfluoroalkyl and polyfluoroalkyl substances (PFAS) from the Survey of the Health of Wisconsin (SHOW) 2014-2016 and comparison with the National Health and Nutrition Examination Survey (NHANES),Amy A Schultz,Noel Stanton; Brandon Shelton; Rachel Pomazal; Meshel A Lange; Roy Irving; Jonathan Meiman; Kristen C Malecki,Amy A Schultz; Noel Stanton; Brandon Shelton; Rachel Pomazal; Meshel A Lange; Roy Irving; Jonathan Meiman; Kristen C Malecki,8,complete,Journal article,2023,Journal of Exposure Science & Environmental Epidemiology,33(5):766-777,10.1038/s41370-023-00593-3,37580384,PMC10804284,https://doi.org/10.1038/s41370-023-00593-3,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
108,2023,"Dillard, L. K. et al.",Associations of Dietary Intake With Self-Reported Hearing Loss: Findings From the Survey of the Health of Wisconsin,Associations of Dietary Intake With Self-Reported Hearing Loss: Findings From the Survey of the Health of Wisconsin,Associations of Dietary Intake With Self-Reported Hearing Loss: Findings From the Survey of the Health of Wisconsin,Lauren K Dillard,Erin Nelson-Bakkum; Amy Schultz; Natascha Merten; Kristen Malecki,Lauren K Dillard; Erin Nelson-Bakkum; Amy Schultz; Natascha Merten; Kristen Malecki,5,complete,Journal article,2023,"Journal of Speech, Language, and Hearing Research",66(7):2478-2489,10.1044/2023_JSLHR-22-00473,37263020,,https://doi.org/10.1044/2023_JSLHR-22-00473,,verified,The source page repeats the previous article’s URL and places the article title in the journal field; corrected from DOI/publisher metadata.,2026-06-24,https://reach.med.wisc.edu/research/#publications
109,2023,"Park, E. Y. et al.",Sense of community and mental health: a cross-sectional analysis from a household survey in Wisconsin,Family Medicine and Community Health,Sense of community and mental health: a cross-sectional analysis from a household survey in Wisconsin,Eunice Y Park,Thomas R Oliver; Paul E Peppard; Kristen C Malecki,Eunice Y Park; Thomas R Oliver; Paul E Peppard; Kristen C Malecki,4,complete,Journal article,2023,Family Medicine and Community Health,11(2):e001971,10.1136/fmch-2022-001971,37399294,PMC10314672,https://doi.org/10.1136/fmch-2022-001971,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
110,2024,"Ouayogodé, M. H. et al.",Experienced Racism and Discrimination and Psychological Distress amid Different Phases of the COVID-19 Pandemic: Evidence from Wisconsin,Journal of Racial and Ethnic Health Disparities,Experienced Racism and Discrimination and Psychological Distress amid Different Phases of the COVID-19 Pandemic: Evidence from Wisconsin,Mariétou H Ouayogodé,Sarah S Salas,Mariétou H Ouayogodé; Sarah S Salas,2,complete,Journal article,2024,Journal of Racial and Ethnic Health Disparities,11:3272-3288,10.1007/s40615-023-01782-4,37737937,PMC11104563,https://doi.org/10.1007/s40615-023-01782-4,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
111,2024,"Balubaid, A, et al.","NAVIGATING THE PANDEMIC: THE ROLE OF RESILIENCE AND NEIGHBORHOOD SUPPORT IN STRESS, ANXIETY, AND ADAPTATION",Innovation in Aging,"Navigating the Pandemic: The Role of Resilience and Neighborhood Support in Stress, Anxiety, and Adaptation",Afnan Balubaid,Ashley Berghoff; Kristin Litzelman,Afnan Balubaid; Ashley Berghoff; Kristin Litzelman,3,complete,Conference abstract,2024,Innovation in Aging,8(Supplement_1):554,10.1093/geroni/igae098.1811,,PMC11691141,https://doi.org/10.1093/geroni/igae098.1811,,verified,Published as a conference abstract.,2026-06-24,https://reach.med.wisc.edu/research/#publications
112,2024,"Kamis, C. et al.","Linking sequences of exposure to residential (dis)advantage, individual socioeconomic status, and health.",Health and Place,"Linking sequences of exposure to residential (dis)advantage, individual socioeconomic status, and health.",Christina Kamis,Wei Xu; Amy Schultz; Kristen Malecki; Michal Engelman,Christina Kamis; Wei Xu; Amy Schultz; Kristen Malecki; Michal Engelman,5,complete,Journal article,2024,Health & Place,88:103262,10.1016/j.healthplace.2024.103262,38833849,PMC11878194,https://doi.org/10.1016/j.healthplace.2024.103262,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
113,2024,"Cobb, B. L. et al.",Wisconsin Sand Mining Operation Sites and Individuals Diagnosed With Asthma and COPD,ProQuest,Wisconsin Sand Mining Operation Sites and Individuals Diagnosed With Asthma and COPD,B L Cobb,,B L Cobb,1,partial,Doctoral dissertation,2024,ProQuest Dissertations & Theses,,,,,https://www.proquest.com/docview/2906657682,,partial,"The ProQuest record was not fully accessible, and no reliable independent source exposed a fuller name or additional authors; the source-page initials are retained.",2026-06-24,https://reach.med.wisc.edu/research/#publications
114,2024,"Pomazal, R. et al.",Determinants of per- and polyfluoroalkyl substances (PFAS) exposure among Wisconsin residents,Environmental Research,Determinants of per- and polyfluoroalkyl substances (PFAS) exposure among Wisconsin residents,Rachel Pomazal,Kristen Malecki; Noel Stanton; Brandon Shelton; Meshel Lange; Roy Irving; Jonathan Meiman; Christina K Remucal; Amy Cochran; Amy A Schultz,Rachel Pomazal; Kristen Malecki; Noel Stanton; Brandon Shelton; Meshel Lange; Roy Irving; Jonathan Meiman; Christina K Remucal; Amy Cochran; Amy A Schultz,10,complete,Journal article,2024,Environmental Research,254:119131,10.1016/j.envres.2024.119131,38759771,,https://doi.org/10.1016/j.envres.2024.119131,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
115,2024,"Xu, W. et al.",Constructing Residential Histories in a General Population-Based Representative Sample,American Journal of Epidemiology,Constructing Residential Histories in a General Population-Based Representative Sample,Wei Xu,Megan Agnew; Christina Kamis; Amy Schultz; Sarah Salas; Kristen Malecki; Michal Engelman,Wei Xu; Megan Agnew; Christina Kamis; Amy Schultz; Sarah Salas; Kristen Malecki; Michal Engelman,7,complete,Journal article,2024,American Journal of Epidemiology,193(2):348-359,10.1093/aje/kwad188,37715463,PMC10840075,https://doi.org/10.1093/aje/kwad188,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
116,2024,"Clark, J. A. et al.","Sense of neighborhood belonging and health: geographic, racial, and socioeconomic variation in Wisconsin",Frontiers in Public Health,"Sense of neighborhood belonging and health: geographic, racial, and socioeconomic variation in Wisconsin",Joseph A Clark,Michal Engelman; Amy A Schultz; Andrew J Bersch; Kristen Malecki,Joseph A Clark; Michal Engelman; Amy A Schultz; Andrew J Bersch; Kristen Malecki,5,complete,Journal article,2024,Frontiers in Public Health,12:1376672,10.3389/fpubh.2024.1376672,38680935,PMC11047775,https://doi.org/10.3389/fpubh.2024.1376672,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
117,2024,"Schultz, A. A. et al.","Participant attrition from statewide, population-based Survey of the Health of Wisconsin into the longitudinal SHOW COVID-19 cohort",Annals of Epidemiology,"Participant attrition from statewide, population-based Survey of the Health of Wisconsin into the longitudinal SHOW COVID-19 cohort",Amy A Schultz,Erin Nelson-Bakkum; Maria Nikodemova; Sarah Luongo; Jodi H Barnet; Matthew C Walsh; Andrew Bersch; Ajay Sethi; Paul Peppard; Lisa Cadmus-Bertram; Corinne D Engelman; Julia Lubsen; Tarakee Jackson; Kristen M C Malecki,Amy A Schultz; Erin Nelson-Bakkum; Maria Nikodemova; Sarah Luongo; Jodi H Barnet; Matthew C Walsh; Andrew Bersch; Ajay Sethi; Paul Peppard; Lisa Cadmus-Bertram; Corinne D Engelman; Julia Lubsen; Tarakee Jackson; Kristen M C Malecki,14,complete,Journal article,2024,Annals of Epidemiology,94:9-18,10.1016/j.annepidem.2024.04.001,38604574,,https://doi.org/10.1016/j.annepidem.2024.04.001,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
